experiment_id	run_tag	candidate_family	status	decision	relative_mae	relative_rmse	worst_fold_rmse_ratio	peak_vram_mb	training_seconds	recorded_at
exp_1785773129428	dev_run	persistence	success	discard	1.0	1.0	1.0	0	2.1142876148223877	2026-08-03T16:05:29.428786+00:00
exp_1785773131488	dev_run	ridge	success	discard	0.9764428771488813	0.9811532119833465	1.133509601903264	0	2.0113959312438965	2026-08-03T16:05:31.488640+00:00
exp_1785773133746	dev_run	elastic_net	success	discard	0.9967113860444583	0.9769031421459765	1.1043550439953422	0	2.213364601135254	2026-08-03T16:05:33.746827+00:00
exp_1785773136909	dev_run	compact_mlp	success	discard	2046931.803198042	11457608.662434759	265069115.02688554	0	3.1166579723358154	2026-08-03T16:05:36.909902+00:00
exp_1785773139573	dev_run	dlinear	success	discard	1.8408750448774092	1.8562500999232925	1.95168807025459	0	2.6140127182006836	2026-08-03T16:05:39.573169+00:00
exp_1785773141937	dev_run	small_tcn	success	discard	0.9904008432617069	0.9887086736490931	1.1327476158843794	0	2.314823627471924	2026-08-03T16:05:41.937373+00:00
