ticker,horizon,arm,qlike
EOG,20,A_ohlcv,0.152669998624653
EOG,20,C_sentiment,0.1401454310994432
EOG,20,frozen_rolling,0.10761672673693501
GILD,5,A_ohlcv,0.5561715370563768
GILD,5,C_sentiment,0.5370541599187008
GILD,5,frozen_rolling,0.3425833513548844
GILD,10,A_ohlcv,0.27161249204584437
GILD,10,C_sentiment,0.28502905680841445
GILD,10,frozen_rolling,0.19073312323397185
GILD,20,A_ohlcv,0.19312929500584958
GILD,20,C_sentiment,0.19705088272973023
GILD,20,frozen_rolling,0.13851833900538826
GS,5,A_ohlcv,0.6328008948704907
GS,5,C_sentiment,0.6332128533667752
GS,5,frozen_rolling,0.33791928832915
GS,10,A_ohlcv,0.3356083942958738
GS,10,C_sentiment,0.34986238045801615
GS,10,frozen_rolling,0.18911965334226719
GS,20,A_ohlcv,0.20345879559810126
GS,20,C_sentiment,0.23104705010427115
GS,20,frozen_rolling,0.13702654600174033
HD,5,A_ohlcv,0.45783439949521915
HD,5,C_sentiment,0.48767931504685047
HD,5,frozen_rolling,0.3739212385588022
HD,10,A_ohlcv,0.2497920055493434
HD,10,C_sentiment,0.25395322516796176
HD,10,frozen_rolling,0.23292896061334037
HD,20,A_ohlcv,0.16138675057247098
HD,20,C_sentiment,0.1534897482677242
HD,20,frozen_rolling,0.15884160064280292
HON,5,A_ohlcv,0.7763213799822686
HON,5,C_sentiment,0.7583976479422784
HON,5,frozen_rolling,0.5894024970827768
HON,10,A_ohlcv,0.45948626955619043
HON,10,C_sentiment,0.4240043998965317
HON,10,frozen_rolling,0.3758379382386972
HON,20,A_ohlcv,0.2904435117193641
HON,20,C_sentiment,0.2699921757084851
HON,20,frozen_rolling,0.23280861880644668
IBM,5,A_ohlcv,2.1469943599995194
IBM,5,C_sentiment,2.4498269110195308
IBM,5,frozen_rolling,0.947591237250595
IBM,10,A_ohlcv,1.5588555591182571
IBM,10,C_sentiment,1.7401440716090968
IBM,10,frozen_rolling,0.7135364105539145
IBM,20,A_ohlcv,1.4459474890160975
IBM,20,C_sentiment,1.629123601438153
IBM,20,frozen_rolling,0.5136662130592549
JNJ,5,A_ohlcv,0.618528752551684
JNJ,5,C_sentiment,0.608497332729869
JNJ,5,frozen_rolling,0.43693742367865146
JNJ,10,A_ohlcv,0.3906663477484268
JNJ,10,C_sentiment,0.3720226424478224
JNJ,10,frozen_rolling,0.2972946726140901
JNJ,20,A_ohlcv,0.2877594194904334
JNJ,20,C_sentiment,0.25799282566473414
JNJ,20,frozen_rolling,0.19936806337905502
JPM,5,A_ohlcv,0.4144005707579448
JPM,5,C_sentiment,0.41870208931014125
JPM,5,frozen_rolling,0.30663318187527644
JPM,10,A_ohlcv,0.22872220777573699
JPM,10,C_sentiment,0.23346081502379584
JPM,10,frozen_rolling,0.18175424827467362
JPM,20,A_ohlcv,0.10123688386719192
JPM,20,C_sentiment,0.10794046270814052
JPM,20,frozen_rolling,0.09997016629996897
KO,5,A_ohlcv,0.6376376752306484
KO,5,C_sentiment,0.6252106717067415
KO,5,frozen_rolling,0.35051201635011975
KO,10,A_ohlcv,0.4428279139043887
KO,10,C_sentiment,0.41530306255928034
KO,10,frozen_rolling,0.190052632804167
KO,20,A_ohlcv,0.28497637718723917
KO,20,C_sentiment,0.2828191072261892
KO,20,frozen_rolling,0.12582040587653234
LMT,5,A_ohlcv,1.2730105951101396
LMT,5,C_sentiment,1.3049355615393894
LMT,5,frozen_rolling,0.7578300800560122
LMT,10,A_ohlcv,0.9957793067849671
LMT,10,C_sentiment,1.024827071185043
LMT,10,frozen_rolling,0.5287173910042106
LMT,20,A_ohlcv,0.6396541438761607
LMT,20,C_sentiment,0.6286947358562092
LMT,20,frozen_rolling,0.362934994249657
MCD,5,A_ohlcv,0.36728465133629157
MCD,5,C_sentiment,0.36439888380715957
MCD,5,frozen_rolling,0.27010565675267023
MCD,10,A_ohlcv,0.21348878309564298
MCD,10,C_sentiment,0.2003999581965705
MCD,10,frozen_rolling,0.15570183744103092
MCD,20,A_ohlcv,0.15148626762493445
MCD,20,C_sentiment,0.13784462801729572
MCD,20,frozen_rolling,0.10962138623889014
MRK,5,A_ohlcv,0.8012457382129955
MRK,5,C_sentiment,0.8572434891824599
MRK,5,frozen_rolling,0.40373246966690085
MRK,10,A_ohlcv,0.6175381028944337
MRK,10,C_sentiment,0.639611912572099
MRK,10,frozen_rolling,0.24863262462379992
MRK,20,A_ohlcv,0.34506072734539806
MRK,20,C_sentiment,0.3741859724991702
MRK,20,frozen_rolling,0.13891476589401863
